64.64.152.248:39593, SOCKS4, 86ms
52.229.30.3:80, HTTP, 92ms
138.197.208.93:8080, HTTP, 94ms
209.126.6.159:80, HTTP, 119ms
191.101.1.116:80, HTTP, 143ms
67.203.23.79:8081, HTTP, 145ms
52.34.243.150:8080, HTTP, 154ms
47.85.161.37:3128, HTTP, 171ms
64.112.184.210:3128, HTTP, 174ms
72.167.253.131:80, HTTP, 182ms
172.200.72.48:80, HTTP, 183ms
104.154.186.48:80, HTTP, 184ms
34.44.49.215:80, HTTP, 198ms
189.203.181.34:1080, SOCKS4, 225ms
137.66.1.45:80, HTTP, 228ms
142.93.202.130:3128, HTTP, 246ms
174.138.119.88:80, HTTP, 252ms
3.128.83.74:17000, SOCKS5, 253ms
159.65.245.255:80, HTTP, 257ms
68.71.252.38:4145, SOCKS4, 260ms
72.37.216.68:4145, SOCKS4, 261ms
104.37.135.145:4145, SOCKS4, 261ms
68.71.251.134:4145, SOCKS4, 262ms
67.201.35.145:4145, SOCKS4, 263ms
192.111.134.10:4145, SOCKS4, 263ms
68.71.242.118:4145, SOCKS4, 263ms
23.228.86.236:8081, HTTP, 264ms
68.71.241.33:4145, SOCKS4, 264ms
67.201.39.14:4145, SOCKS4, 265ms
67.201.59.70:4145, SOCKS4, 265ms
68.71.243.14:4145, SOCKS4, 266ms
192.252.220.92:17328, SOCKS4, 269ms
67.203.23.88:8081, HTTP, 269ms
40.177.99.164:21137, HTTP, 269ms
68.71.249.158:4145, SOCKS4, 270ms
107.181.168.145:4145, SOCKS4, 271ms
67.201.33.10:25283, SOCKS4, 272ms
142.54.236.97:4145, SOCKS4, 272ms
199.102.106.94:4145, SOCKS4, 273ms
199.187.210.54:4145, SOCKS4, 273ms
34.43.46.91:443, HTTP, 273ms
68.71.247.130:4145, SOCKS4, 274ms
142.54.239.1:4145, SOCKS4, 274ms
104.200.152.30:4145, SOCKS4, 277ms
192.252.220.89:4145, SOCKS4, 282ms
72.37.217.3:4145, SOCKS4, 286ms
199.102.104.70:4145, SOCKS4, 292ms
142.54.235.9:4145, SOCKS4, 299ms
142.54.237.34:4145, SOCKS4, 302ms
104.200.135.46:4145, SOCKS4, 304ms
107.152.98.5:4145, SOCKS4, 304ms
162.253.68.97:4145, SOCKS4, 305ms
198.8.84.3:4145, SOCKS4, 305ms
142.54.226.214:4145, SOCKS4, 305ms
68.71.240.210:4145, SOCKS4, 305ms
107.181.161.81:4145, SOCKS4, 308ms
199.102.105.242:4145, SOCKS4, 309ms
142.54.229.249:4145, SOCKS4, 309ms
142.54.232.6:4145, SOCKS4, 311ms
142.54.228.193:4145, SOCKS4, 312ms
142.54.237.38:4145, SOCKS4, 312ms
68.71.249.153:48606, SOCKS4, 313ms
38.194.250.66:999, HTTP, 315ms
67.201.58.190:4145, SOCKS4, 315ms
206.220.175.2:4145, SOCKS4, 317ms
68.71.254.6:4145, SOCKS4, 318ms
24.37.245.42:51056, SOCKS4, 334ms
199.102.107.145:4145, SOCKS4, 339ms
165.154.162.73:8888, HTTP, 349ms
68.71.245.206:4145, SOCKS5, 352ms
201.184.239.75:5678, SOCKS4, 443ms
165.232.97.74:80, HTTP, 470ms
139.162.200.213:80, HTTP, 479ms
190.144.224.182:44550, SOCKS4, 503ms
51.68.124.241:80, HTTP, 505ms
56.155.73.215:57834, HTTP, 513ms
40.89.145.14:80, HTTP, 515ms
192.111.137.34:18765, SOCKS4, 517ms
192.252.208.67:14287, SOCKS4, 519ms
192.111.139.162:4145, SOCKS4, 521ms
199.58.185.9:4145, SOCKS4, 521ms
192.252.214.20:15864, SOCKS4, 522ms
192.252.208.70:14282, SOCKS4, 522ms
192.111.135.18:18301, SOCKS4, 523ms
192.252.211.197:14921, SOCKS4, 523ms
192.111.129.150:4145, SOCKS4, 523ms
199.58.184.97:4145, SOCKS4, 523ms
184.170.248.5:4145, SOCKS4, 523ms
192.111.137.37:18762, SOCKS4, 524ms
192.111.135.17:18302, SOCKS4, 524ms
192.111.139.163:19404, SOCKS4, 525ms
74.119.144.60:4145, SOCKS4, 525ms
192.111.130.5:17002, SOCKS4, 525ms
192.252.215.5:16137, SOCKS4, 526ms
192.252.214.17:4145, SOCKS4, 526ms
199.116.112.6:4145, SOCKS4, 528ms
192.252.216.81:4145, SOCKS4, 528ms
184.170.245.148:4145, SOCKS4, 528ms
192.111.137.35:4145, SOCKS4, 528ms
198.8.94.170:4145, SOCKS4, 528ms
192.111.129.145:16894, SOCKS4, 528ms
192.111.139.165:4145, SOCKS4, 529ms
74.119.147.209:4145, SOCKS4, 529ms
192.252.215.2:4145, SOCKS4, 530ms
95.211.174.135:3128, HTTP, 530ms
109.199.119.160:80, HTTP, 531ms
192.111.130.2:4145, SOCKS4, 533ms
192.111.138.29:4145, SOCKS4, 533ms
200.108.50.254:4145, SOCKS4, 534ms
199.229.254.129:4145, SOCKS4, 540ms
198.8.94.174:39078, SOCKS4, 540ms
116.203.27.109:80, HTTP, 541ms
80.74.54.148:3128, HTTP, 544ms
103.237.102.191:11111, HTTP, 545ms
204.76.203.9:3128, HTTP, 559ms
192.252.209.155:14455, SOCKS4, 561ms
13.53.139.178:8000, HTTP, 570ms
1.231.81.166:3128, HTTP, 579ms
202.61.199.166:80, HTTP, 584ms
181.115.74.172:5678, SOCKS4, 587ms
192.252.210.233:4145, SOCKS5, 590ms
192.252.211.193:4145, SOCKS5, 597ms
98.182.147.97:4145, SOCKS4, 597ms
193.25.215.182:22222, SOCKS5, 606ms
192.252.209.158:4145, SOCKS5, 606ms
37.58.221.247:3128, HTTP, 606ms
184.170.251.30:11288, SOCKS5, 607ms
192.252.216.86:4145, SOCKS5, 611ms
125.228.94.153:4145, SOCKS4, 612ms
114.108.177.104:60984, SOCKS4, 617ms
125.228.143.207:4145, SOCKS4, 617ms
189.90.118.105:4153, SOCKS4, 631ms
93.123.16.14:80, HTTP, 633ms
93.123.16.38:80, HTTP, 634ms
45.146.163.31:80, HTTP, 636ms
184.178.172.18:15280, SOCKS4, 636ms
174.64.199.79:4145, SOCKS4, 637ms
184.181.217.213:4145, SOCKS4, 637ms
184.178.172.5:15303, SOCKS4, 638ms
98.178.72.21:10919, SOCKS4, 638ms
24.249.199.4:4145, SOCKS4, 638ms
98.188.47.132:4145, SOCKS4, 639ms
98.175.31.195:4145, SOCKS4, 639ms
184.181.217.210:4145, SOCKS4, 639ms
72.223.188.67:4145, SOCKS4, 640ms
72.195.34.60:27391, SOCKS4, 640ms
72.195.34.35:27360, SOCKS4, 640ms
72.207.109.5:4145, SOCKS4, 640ms
70.166.167.55:57745, SOCKS4, 642ms
212.127.95.235:8081, HTTP, 642ms
184.178.172.28:15294, SOCKS4, 642ms
139.99.192.169:80, HTTP, 642ms
174.75.211.193:4145, SOCKS4, 642ms
184.181.217.201:4145, SOCKS4, 642ms
72.205.0.67:4145, SOCKS4, 643ms
72.205.0.93:4145, SOCKS4, 643ms
184.181.217.194:4145, SOCKS4, 643ms
72.195.114.169:4145, SOCKS4, 643ms
72.207.113.97:4145, SOCKS4, 644ms
72.195.101.99:4145, SOCKS4, 644ms
68.1.210.189:4145, SOCKS4, 644ms
184.178.172.25:15291, SOCKS4, 645ms
98.170.57.231:4145, SOCKS4, 645ms
184.178.172.26:4145, SOCKS4, 645ms
98.170.57.249:4145, SOCKS4, 645ms
72.195.34.41:4145, SOCKS4, 645ms
98.191.0.47:4145, SOCKS4, 646ms
72.195.34.58:4145, SOCKS4, 647ms
184.178.172.14:4145, SOCKS4, 647ms
184.181.217.206:4145, SOCKS4, 648ms
184.178.172.23:4145, SOCKS4, 648ms
72.195.114.184:4145, SOCKS4, 648ms
72.207.33.64:4145, SOCKS4, 649ms
184.178.172.3:4145, SOCKS4, 649ms
184.178.172.17:4145, SOCKS4, 650ms
68.1.210.163:4145, SOCKS4, 650ms
184.178.172.11:4145, SOCKS4, 650ms
98.188.47.150:4145, SOCKS4, 651ms
98.170.57.241:4145, SOCKS4, 651ms
5.45.126.128:8080, HTTP, 651ms
98.181.137.83:4145, SOCKS4, 651ms
24.249.199.12:4145, SOCKS4, 652ms
5.255.117.250:1080, SOCKS5, 652ms
72.195.34.59:4145, SOCKS4, 652ms
184.178.172.13:15311, SOCKS4, 652ms
72.195.34.42:4145, SOCKS4, 653ms
195.114.209.50:80, HTTP, 654ms
47.243.92.199:3128, HTTP, 655ms
174.64.199.82:4145, SOCKS4, 655ms
174.77.111.197:4145, SOCKS4, 656ms
98.178.72.30:4145, SOCKS4, 656ms
174.77.111.196:4145, SOCKS4, 657ms
70.166.167.38:57728, SOCKS4, 658ms
184.181.217.220:4145, SOCKS4, 658ms
98.191.0.37:4145, SOCKS4, 660ms
16.163.88.228:80, HTTP, 661ms
72.214.108.67:4145, SOCKS4, 664ms
184.170.249.65:4145, SOCKS4, 665ms
208.102.51.6:58208, SOCKS4, 665ms
18.163.33.4:9002, HTTP, 666ms
143.208.130.155:5678, SOCKS4, 668ms
66.42.224.229:41679, SOCKS4, 675ms
18.163.33.4:37317, HTTP, 675ms
