type,ip,port,GeoIP
http,38.211.24.146,8080,ID
http,13.53.139.178,34039,SE
http,119.188.131.55,17981,CN
http,103.99.136.98,8080,ID
http,210.87.92.82,8080,ID
http,166.88.34.20,5731,US
http,103.130.182.85,8080,ID
http,45.116.230.79,4673,IN
http,154.203.132.81,1080,HK
http,45.43.64.26,6284,GB
http,213.154.2.210,3128,AZ
http,103.15.222.192,10053,VN
http,195.135.255.98,1080,LV
http,216.106.179.216,49180,US
http,65.109.231.48,8080,FI
http,217.69.121.51,5716,GB
http,186.97.200.210,999,CO
http,113.160.132.26,8080,VN
http,190.128.131.126,8080,PY
http,195.62.50.39,8080,TR
http,163.5.214.119,9082,FR
http,103.11.99.126,8080,ID
http,190.97.253.233,999,VE
http,27.34.242.98,80,IN
http,216.22.13.244,1081,US
http,196.207.24.222,8080,KE
http,24.119.238.146,10000,US
http,38.76.180.241,3128,HK
http,103.169.189.155,36473,ID
http,82.69.16.184,80,GB
http,168.196.126.226,999,DO
http,103.15.222.192,10233,VN
http,163.223.37.71,7777,ID
http,103.135.70.9,8080,IN
http,131.161.68.38,35944,BR
http,171.240.13.76,8080,VN
http,171.248.211.97,1080,VN
http,172.105.107.223,3128,CA
http,108.170.12.11,80,US
http,200.70.35.2,8080,AR
http,203.19.38.114,1080,HK
http,201.174.175.82,999,MX
http,107.181.154.71,5749,GB
http,103.119.60.219,1080,ID
http,45.174.243.24,999,MX
http,142.93.223.219,8080,IN
http,177.234.211.31,999,EC
http,210.48.237.116,8080,JP
http,103.204.46.2,8090,ID
http,77.89.35.50,8080,IT
http,185.174.208.195,8080,XK
http,8.218.239.205,8888,HK
http,203.170.146.146,4153,TH
http,163.172.31.44,80,FR
http,130.49.187.61,1082,GB
http,103.169.132.34,3128,ID
http,38.199.71.112,999,CO
http,173.212.245.136,8888,FR
http,87.76.1.80,8080,RU
http,219.65.73.80,80,IN
http,45.174.87.18,999,MX
http,159.195.49.27,8888,DE
http,45.43.81.224,5871,GB
http,85.143.254.38,1080,RU
http,175.139.255.25,8181,MY
http,85.214.107.177,80,DE
http,8.209.96.245,4153,DE
http,171.247.232.248,8080,VN
http,5.78.85.29,8080,US
http,77.239.109.126,1080,NL
http,8.211.195.173,1000,GB
http,85.117.56.115,8080,GE
http,103.184.180.204,8080,ID
http,109.94.1.23,4050,RU
http,148.135.144.83,8344,US
http,202.162.105.202,80,HK
http,103.15.222.192,10189,VN
http,142.111.192.114,5710,US
http,67.227.119.109,6438,US
http,40.160.27.66,1080,US
http,165.165.178.142,4153,ZA
http,148.135.144.167,8428,US
http,45.185.162.203,999,EC
http,181.143.81.51,5678,CO
http,78.109.137.53,1080,RU
http,77.73.68.222,65000,RU
http,180.191.52.65,2001,PH
http,178.170.181.118,1080,RU
http,196.47.63.65,8080,NA
http,103.167.31.155,8080,ID
http,46.224.153.114,9050,DE
http,103.141.150.191,8080,ID
http,190.94.212.228,999,VE
http,45.187.6.103,8080,VE
http,201.159.113.25,1994,HN
http,181.233.100.100,8080,PY
http,92.255.205.129,8080,RU
http,117.244.114.54,1080,IN
http,94.177.249.42,3128,GB
http,36.50.74.65,8090,BD
http,177.234.226.83,1994,EC
http,32.223.6.94,80,US
http,128.199.202.122,8080,SG
http,200.25.254.193,54240,CO
http,114.141.50.210,8080,ID
http,103.174.122.87,3128,ID
http,46.21.186.252,1080,IT
http,103.82.20.76,8080,VN
http,197.221.249.197,80,ZW
http,46.241.57.29,1080,RU
http,185.103.87.30,8081,IR
http,8.211.51.115,4000,DE
http,46.101.49.62,80,GB
http,103.247.15.103,9090,ID
http,103.160.40.254,8080,ID
http,102.36.127.231,1080,ZA
http,45.43.70.126,6413,GB
http,219.93.101.63,80,MY
http,147.45.166.120,3333,NL
http,185.191.106.41,8081,IT
http,201.234.24.89,4153,AR
http,85.117.239.113,3128,TR
http,103.38.104.164,7777,ID
http,58.33.109.114,2021,CN
http,103.74.144.5,83,IN
http,182.253.228.155,80,ID
http,45.198.20.205,3125,ID
http,190.61.84.166,9812,CR
http,193.178.203.141,8080,IR
http,175.139.233.79,80,MY
http,185.213.91.24,9100,US
