================ PROXY HEALTH REPORT ================
Generated : 2026-09-25T19:49:35Z
Alive     : 600
=====================================================

── ALIVE ──
47.252.47.39:1080 (socks4) | 15ms | US
47.85.161.37:3128 (http) | 17ms | US
172.200.72.48:80 (http) | 27ms | Unknown
153.75.245.254:80 (https) | 33ms | Unknown
198.199.86.11:3128 (http) | 44ms | GB
209.97.150.167:3128 (http) | 46ms | GB
159.65.230.46:8888 (http) | 54ms | Unknown
142.93.202.130:3128 (http) | 55ms | Unknown
18.222.132.180:22650 (http) | 80ms | Unknown
209.126.6.159:80 (http) | 99ms | Unknown
137.66.1.45:80 (http) | 111ms | Unknown
172.245.168.179:21241 (http) | 127ms | US
159.203.61.169:3128 (http) | 132ms | GB
45.61.188.134:44499 (socks5) | 185ms | US
191.101.1.116:80 (http) | 209ms | Unknown
23.228.86.236:8081 (http) | 236ms | Unknown
82.29.72.145:30501 (http) | 258ms | US
138.197.208.93:8080 (http) | 267ms | Unknown
52.229.30.3:80 (http) | 272ms | Unknown
72.167.253.131:80 (http) | 272ms | Unknown
165.232.97.74:80 (http) | 306ms | Unknown
139.162.200.213:80 (http) | 315ms | Unknown
52.34.243.150:8080 (http) | 321ms | Unknown
34.220.80.147:15852 (http) | 321ms | Unknown
34.220.80.147:5080 (http) | 325ms | Unknown
34.220.80.147:8080 (http) | 327ms | Unknown
138.68.60.8:3128 (http) | 328ms | GB
51.68.124.241:80 (http) | 345ms | Unknown
40.89.145.14:80 (http) | 347ms | Unknown
52.47.115.41:14133 (http) | 350ms | Unknown
52.47.115.41:18029 (http) | 352ms | Unknown
67.203.23.79:8081 (http) | 355ms | Unknown
95.211.174.135:3128 (http) | 360ms | NL
103.237.102.191:11111 (http) | 377ms | DE
212.47.232.28:80 (http) | 380ms | Unknown
116.203.27.109:80 (http) | 382ms | Unknown
134.209.29.120:3128 (http) | 385ms | GB
67.203.23.88:8081 (http) | 391ms | Unknown
194.150.110.134:80 (http) | 395ms | Unknown
193.233.233.62:56736 (http) | 397ms | AT
202.61.199.166:80 (http) | 399ms | Unknown
142.54.237.34:4145 (socks4) | 403ms | US
188.165.199.207:80 (http) | 404ms | Unknown
67.201.35.145:4145 (socks4) | 405ms | US
80.74.54.148:3128 (http) | 405ms | Unknown
68.71.247.130:4145 (socks4) | 405ms | US
